id,name,gender,birth_date,birth_city,birth_country,birth_continent,alive,prize_year,prize_category,prize_sort_order,prize_portion,prize_status,prize_motivation,prize_amount_adjusted,prize_affiliation_name,prize_affiliation_city,prize_affiliation_country,age
403,Albert Claude,male,1898,Longlier,Belgium,Europe,0,1974,Physiology or Medicine,1,1/3,received,for their discoveries concerning the structural and functional organization of the cell,4011867,Université Catholique de Louvain,Louvain,Belgium,76
26,Albert Einstein,male,1879,Ulm,Germany,Europe,0,1921,Physics,1,1,received,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",3113620,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,42
814,Albert Fert,male,1938,Carcassonne,France,Europe,1,2007,Physics,1,1/2,received,for the discovery of Giant Magnetoresistance,13893912,Universit&eacute; Paris-Sud,Orsay,France,69
465,Albert Gobat,male,1843,Tramelan,Switzerland,Europe,0,1902,Peace,2,1/2,received,for his eminently practical administration of the Inter-Parliamentary Union,9907798,,,,59
519,Albert Lutuli,male,1898,Bulawayo,Zimbabwe,Africa,0,1960,Peace,1,1,received,for his non-violent struggle against apartheid,3276101,,,,62
513,Albert Schweitzer,male,1875,Kaysersberg,France,Europe,0,1952,Peace,1,1,received,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",3130684,,,,77
332,Albert Szent-Györgyi,male,1893,Budapest,Hungary,Europe,0,1937,Physiology or Medicine,1,1,received,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",5797734,Szeged University,Szeged,Hungary,44
304,Albrecht Kossel,male,1853,Rostock,Germany,Europe,0,1910,Physiology or Medicine,1,1,received,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",8765417,University of Heidelberg,Heidelberg,Germany,57
83,Aleksandr M. Prokhorov,male,1916,Atherton,Australia,Oceania,0,1964,Physics,3,1/4,received,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",3476602,P.N. Lebedev Physical Institute,Moscow,Russia,48
644,Aleksandr Solzhenitsyn,male,1918,Kislovodsk,Russia,Europe,0,1970,Literature,1,1,received,for the ethical force with which he has pursued the indispensable traditions of Russian literature,3906780,,,,52
1031,Aleksey Yekimov ,male,1945,St. Petersburg,Russia,Europe,1,2023,Chemistry,3,1/3,received,for the discovery and synthesis of quantum dots,11000000,Nanocrystals Technology Inc.,"New York, NY",USA,78
1018,Ales Bialiatski,male,1962,"Vyartsilya, Karelia",Russia,Europe,1,2022,Peace,1,1/3,received,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10852166,,,,60
766,Alexei Abrikosov,male,1928,Moscow,Russia,Europe,0,2003,Physics,1,1/3,received,for pioneering contributions to the theory of superconductors and superfluids,14515113,Argonne National Laboratory,"Argonne, IL",USA,75
306,Alexis Carrel,male,1873,Sainte-Foy-lès-Lyon,France,Europe,0,1912,Physiology or Medicine,1,1,received,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,8302492,Rockefeller Institute for Medical Research,"New York, NY",USA,39
544,Alfonso García Robles,male,1911,Zamora,Mexico,North America,0,1982,Peace,2,1/2,received,for their work for disarmament and nuclear and weapon-free zones,3814029,,,,71
392,Alfred D. Hershey,male,1908,"Owosso, MI",USA,North America,0,1969,Physiology or Medicine,2,1/3,received,for their discoveries concerning the replication mechanism and the genetic structure of viruses,3911199,Carnegie Institution of Washington,"Long Island, New York, NY",USA,61
479,Alfred Fried,male,1864,Vienna,Austria,Europe,0,1911,Peace,2,1/2,received,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",9008388,,,,47
450,Alfred G. Gilman,male,1941,"New Haven, CT",USA,North America,0,1994,Physiology or Medicine,1,1/2,received,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,11370684,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,53
87,Alfred Kastler,male,1902,Guebwiller,France,Europe,0,1966,Physics,1,1,received,for the discovery and development of optical methods for studying Hertzian resonances in atoms,3423267,École Normale Supérieure,Paris,France,64
174,Alfred Werner,male,1866,Mulhouse,France,Europe,0,1913,Chemistry,1,1,received,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,8452258,University of Zurich,Zurich,Switzerland,47
892,Alice Munro,female,1931,Wingham,Canada,North America,0,2013,Literature,1,1,received,master of the contemporary short story,10284439,,,,82
417,Allan M. Cormack,male,1924,Johannesburg,South Africa,Africa,0,1979,Physiology or Medicine,1,1/2,received,for the development of computer assisted tomography,3673307,Tufts University,"Medford, MA",USA,55
305,Allvar Gullstrand,male,1862,Landskrona,Sweden,Europe,0,1911,Physiology or Medicine,1,1,received,for his work on the dioptrics of the eye,9008388,Uppsala University,Uppsala,Sweden,49
300,Alphonse Laveran,male,1845,Paris,France,Europe,0,1907,Physiology or Medicine,1,1,received,in recognition of his work on the role played by protozoa in causing diseases,8646616,Institut Pasteur,Paris,France,62
543,Alva Myrdal,female,1902,Uppsala,Sweden,Europe,0,1982,Peace,1,1/2,received,for their work for disarmament and nuclear and weapon-free zones,3814029,,,,80
882,Alvin E. Roth,male,1951,"New York, NY",USA,North America,1,2012,Economic Sciences,1,1/2,received,for the theory of stable allocations and the practice of market design,10278707,Harvard University,"Cambridge, MA",USA,61
719,Amartya Sen,male,1933,Santiniketan,India,Asia,1,1998,Economic Sciences,1,1,received,for his contributions to welfare economics,11941377,Trinity College,Cambridge,United Kingdom,65
509,American Friends Service Committee,organization,1917,"Washington, D.C.","Washington, D.C.",North America,1,1947,Peace,2,1/2,received,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",3582926,,,,30
537,Amnesty International,organization,1961,London,London,Europe,1,1977,Peace,1,1,received,for worldwide respect for human rights,3787559,,,,16
590,Anatole France,male,1844,Paris,France,Europe,0,1921,Literature,1,1,received,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",3113620,,,,77
360,André F. Cournand,male,1895,Paris,France,Europe,0,1956,Physiology or Medicine,1,1/3,received,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,3318586,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,61
849,Andre Geim,male,1958,Sochi,Russia,Europe,1,2010,Physics,1,1/2,received,for groundbreaking experiments regarding the two-dimensional material graphene,13300635,University of Manchester,Manchester,United Kingdom,52
618,André Gide,male,1869,Paris,France,Europe,0,1947,Literature,1,1,received,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",3582926,,,,78
381,André Lwoff,male,1902,Ainay-le-Château,France,Europe,0,1965,Physiology or Medicine,2,1/3,received,for their discoveries concerning genetic control of enzyme and virus synthesis,3421105,Institut Pasteur,Paris,France,63
990,Andrea Ghez,female,1965,"New York, NY",USA,North America,1,2020,Physics,3,1/4,received,for the discovery of a supermassive compact object at the centre of our galaxy,12017727,University of California,"Los Angeles, CA",USA,55
534,Andrei Sakharov,male,1921,Moscow,Russia,Europe,0,1975,Peace,1,1,received,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",4184870,,,,54
377,Andrew Huxley,male,1917,Hampstead,United Kingdom,Europe,0,1963,Physiology or Medicine,3,1/3,received,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,3490429,University College,London,United Kingdom,46
412,Andrew V. Schally,male,1926,Vilnius,Lithuania,Europe,1,1977,Physiology or Medicine,2,1/4,received,for their discoveries concerning the peptide hormone production of the brain,3787559,Veterans Administration Hospital,"New Orleans, LA",USA,51
802,Andrew Z. Fire,male,1959,"Stanford, CA",USA,North America,1,2006,Physiology or Medicine,1,1/2,received,for their discovery of RNA interference - gene silencing by double-stranded RNA,14202095,Stanford University School of Medicine,"Stanford, CA",USA,47
926,Angus Deaton,male,1945,Edinburgh,Scotland,Europe,1,2015,Economic Sciences,1,1,received,"for his analysis of consumption, poverty, and welfare",10307434,Princeton University,"Princeton, NJ",USA,70
1028,Anne L’Huillier,female,1958,Paris,France,Europe,1,2023,Physics,3,1/3,received,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000,Lund University,Lund,Sweden,65
1017,Annie Ernaux,female,1940,Lillebonne,France,Europe,1,2022,Literature,1,1,received,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",10852166,,,,82
768,Anthony J. Leggett,male,1938,London,United Kingdom,Europe,1,2003,Physics,3,1/3,received,for pioneering contributions to the theory of superconductors and superfluids,14515113,University of Illinois,"Urbana, IL",USA,65
1014,Anton Zeilinger,male,1945,Ried im Innkreis,Austria,Europe,1,2022,Physics,3,1/3,received,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10852166,University of Vienna,Vienna,Austria,77
101,Antony Hewish,male,1924,Fowey,United Kingdom,Europe,0,1974,Physics,2,1/2,received,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",4011867,University of Cambridge,Cambridge,United Kingdom,50
538,Anwar al-Sadat,male,1918,Mit Abu al-Kawm,Egypt,Africa,0,1978,Peace,1,1/2,received,for jointly having negotiated peace between Egypt and Israel in 1978,3563166,,,,60
214,Archer J.P. Martin,male,1910,London,United Kingdom,Europe,0,1952,Chemistry,1,1/2,received,for their invention of partition chromatography,3130684,National Institute for Medical Research,London,United Kingdom,42
311,Archibald V. Hill,male,1886,Bristol,United Kingdom,Europe,0,1922,Physiology or Medicine,1,1/2,received,for his discovery relating to the production of heat in the muscle,3867443,London University,London,United Kingdom,36
998,Ardem Patapoutian,male,1967,Beirut,Lebanon,Asia,1,2021,Physiology or Medicine,2,1/2,received,for their discoveries of receptors for temperature and touch,11760204,Scripps Research,"La Jolla, CA",USA,54
891,Arieh Warshel,male,1940,Kibbutz Sde-Nahum,Israel,Asia,1,2013,Chemistry,3,1/3,received,for the development of multiscale models for complex chemical systems,10284439,University of Southern California,"Los Angeles, CA",USA,73
490,Aristide Briand,male,1862,Nantes,France,Europe,0,1926,Peace,1,1/2,received,for their crucial role in bringing about the Locarno Treaty,4023773,,,,64
208,Arne Tiselius,male,1902,Stockholm,Sweden,Europe,0,1948,Chemistry,1,1,received,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",3757926,Uppsala University,Uppsala,Sweden,46
111,Arno Penzias,male,1933,Munich,Germany,Europe,0,1978,Physics,2,1/4,received,for their discovery of cosmic microwave background radiation,3563166,Bell Laboratories,"Holmdel, NJ",USA,45
960,Arthur Ashkin,male,1922,"New York, NY",USA,North America,0,2018,Physics,1,1/2,received,for the optical tweezers and their application to biological systems,11064000,Bell Laboratories,"Holmdel, NJ",USA,96
920,Arthur B. McDonald,male,1943,"Sydney, Nova Scotia",Canada,North America,1,2015,Physics,2,1/2,received,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",10307434,Queen's University,Kingston,Canada,72
33,Arthur H. Compton,male,1892,"Wooster, OH",USA,North America,0,1927,Physics,1,1/2,received,for his discovery of the effect named after him,4417952,University of Chicago,"Chicago, IL",USA,35
186,Arthur Harden,male,1865,Manchester,United Kingdom,Europe,0,1929,Chemistry,1,1/2,received,for their investigations on the fermentation of sugar and fermentative enzymes,6033512,London University,London,United Kingdom,64
499,Arthur Henderson,male,1863,Glasgow,Scotland,Europe,0,1934,Peace,1,1,received,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,6352736,,,,71
368,Arthur Kornberg,male,1918,"Brooklyn, NY",USA,North America,0,1959,Physiology or Medicine,2,1/2,received,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,3324593,Stanford University,"Stanford, CA",USA,41
119,Arthur L. Schawlow,male,1921,"Mount Vernon, NY",USA,North America,0,1981,Physics,2,1/4,received,for their contribution to the development of laser spectroscopy,3601563,Stanford University,"Stanford, CA",USA,60
203,Artturi Virtanen,male,1895,Helsinki,Finland,Europe,0,1945,Chemistry,1,1,received,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",3073325,University of Helsinki,Helsinki,Finland,50
722,Arvid Carlsson,male,1923,Uppsala,Sweden,Europe,0,2000,Physiology or Medicine,1,1/3,received,for their discoveries concerning signal transduction in the nervous system,13932169,Göteborg University,Gothenburg,Sweden,77
310,August Krogh,male,1874,Grenå,Denmark,Europe,0,1920,Physiology or Medicine,1,1,received,for his discovery of the capillary motor regulating mechanism,2943814,Copenhagen University,Copenhagen,Denmark,46
475,Auguste Beernaert,male,1829,Ostend,Belgium,Europe,0,1909,Peace,1,1/2,received,for their prominent position in the international movement for peace and arbitration,8709162,,,,80
553,Aung San Suu Kyi,female,1945,Yangon,Myanmar,Asia,1,1991,Peace,1,1,received,for her non-violent struggle for democracy and human rights,10663069,,,,46
780,Avram Hershko,male,1937,Karcag,Hungary,Europe,1,2004,Chemistry,2,1/3,received,for the discovery of ubiquitin-mediated protein degradation,14460477,Technion - Israel Institute of Technology,Haifa,Israel,67
923,Aziz Sancar,male,1946,Savur,Turkey,Asia,1,2015,Chemistry,3,1/3,received,for mechanistic studies of DNA repair,10307434,University of North Carolina,"Chapel Hill, NC",USA,69
845,Barack H. Obama,male,1961,"Honolulu, HI",USA,North America,1,2009,Peace,1,1,received,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,13471654,,,,48
428,Barbara McClintock,female,1902,"Hartford, CT",USA,North America,0,1983,Physiology or Medicine,1,1,received,for her discovery of mobile genetic elements,4567371,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA,81
942,Barry C. Barish,male,1936,"Omaha, NE",USA,North America,1,2017,Physics,2,1/4,received,for decisive contributions to the LIGO detector and the observation of gravitational waves,11280587,LIGO/VIRGO Collaboration,,,81
789,Barry J. Marshall,male,1951,Kalgoorlie,Australia,Oceania,1,2005,Physiology or Medicine,1,1/2,received,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,14397252,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia,54
409,Baruch S. Blumberg,male,1925,"New York, NY",USA,North America,0,1976,Physiology or Medicine,1,1/2,received,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,4109175,The Institute for Cancer Research,"Philadelphia, PA",USA,51
419,Baruj Benacerraf,male,1920,Caracas,Venezuela,South America,0,1980,Physiology or Medicine,1,1/3,received,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,3552364,Harvard Medical School,"Boston, MA",USA,60
1021,Ben Bernanke,male,1953,"Augusta, GA",USA,North America,1,2022,Economic Sciences,1,1/3,received,for research on banks and financial crises,10852166,The Brookings Institution,"Washington, D.C.",USA,69
103,Ben R. Mottelson,male,1926,"Chicago, IL",USA,North America,0,1975,Physics,2,1/3,received,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,4184870,Nordita,Copenhagen,Denmark,49
936,Bengt Holmström,male,1949,Helsinki,Finland,Europe,1,2016,Economic Sciences,2,1/2,received,for their contributions to contract theory,10204759,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,67
426,Bengt I. Samuelsson,male,1934,Halmstad,Sweden,Europe,0,1982,Physiology or Medicine,2,1/3,received,for their discoveries concerning prostaglandins and related biologically active substances,3814029,Karolinska Institutet,Stockholm,Sweden,48
1002,Benjamin List,male,1968,Frankfurt-on-the-Main,Germany,Europe,1,2021,Chemistry,1,1/2,received,for the development of asymmetric organocatalysis,11760204,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,53
933,Bernard L. Feringa,male,1951,Barger-Compascuum,the Netherlands,Europe,1,2016,Chemistry,3,1/3,received,for the design and synthesis of molecular machines,10204759,University of Groningen,Groningen,the Netherlands,65
345,Bernardo Houssay,male,1887,Buenos Aires,Argentina,South America,0,1947,Physiology or Medicine,3,1/2,received,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,3582926,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,60
445,Bert Sakmann,male,1942,Stuttgart,Germany,Europe,1,1991,Physiology or Medicine,2,1/2,received,for their discoveries concerning the function of single ion channels in cells,10663069,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,49
468,Bertha von Suttner,female,1843,Prague,Czech Republic,Europe,0,1905,Peace,1,1,received,for her audacity to oppose the horrors of war,9361622,,,,62
689,Bertil Ohlin,male,1899,Klippan,Sweden,Europe,0,1977,Economic Sciences,1,1/2,received,for their pathbreaking contribution to the theory of international trade and international capital movements,3787559,Stockholm School of Economics,Stockholm,Sweden,78
145,Bertram N. Brockhouse,male,1918,"Lethbridge, Alberta",Canada,North America,0,1994,Physics,1,1/2,received,for the development of neutron spectroscopy,11370684,McMaster University,"Hamilton, Ontario",Canada,76
621,Bertrand Russell,male,1872,Trelleck,United Kingdom,Europe,0,1950,Literature,1,1,received,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,3749710,,,,78
535,Betty Williams,female,1943,Belfast,Northern Ireland,Europe,0,1976,Peace,1,1/2,received,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,4109175,,,,33
572,Bjørnstjerne Bjørnson,male,1832,Kvikne,Norway,Europe,0,1903,Literature,1,1,received,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",9583241,,,,71
937,Bob Dylan,male,1941,"Duluth, MN",USA,North America,1,2016,Literature,1,1,received,for having created new poetic expressions within the great American song tradition,10204759,,,,75
629,Boris Pasternak,male,1890,Moscow,Russia,Europe,0,1958,Literature,1,1,restricted,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,3253674,,,,68
99,Brian D. Josephson,male,1940,Cardiff,United Kingdom,Europe,1,1973,Physics,3,1/2,received,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",4095993,University of Cambridge,Cambridge,United Kingdom,33
879,Brian Kobilka,male,1955,"Little Falls, MN",USA,North America,1,2012,Chemistry,2,1/2,received,for studies of G-protein-coupled receptors,10278707,Stanford University School of Medicine,"Stanford, CA",USA,57
865,Brian P. Schmidt,male,1967,"Missoula, MT",USA,North America,1,2011,Physics,2,1/4,received,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,12964004,Australian National University,Weston Creek,Australia,44
861,Bruce A. Beutler,male,1957,"Chicago, IL",USA,North America,1,2011,Physiology or Medicine,1,1/4,received,for their discoveries concerning the activation of innate immunity,12964004,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,54
261,Bruce Merrifield,male,1921,"Fort Worth, TX",USA,North America,0,1984,Chemistry,1,1,received,for his development of methodology for chemical synthesis on a solid matrix,4649450,Rockefeller University,"New York, NY",USA,63
105,Burton Richter,male,1931,"Brooklyn, NY",USA,North America,0,1976,Physics,1,1/2,received,for their pioneering work in the discovery of a heavy elementary particle of a new kind,4109175,Stanford Linear Accelerator Center,"Stanford, CA",USA,45
34,C.T.R. Wilson,male,1869,Glencorse,Scotland,Europe,0,1927,Physics,2,1/2,received,for his method of making the paths of electrically charged particles visible by condensation of vapour,4417952,University of Cambridge,Cambridge,United Kingdom,58
298,Camillo Golgi,male,1843,Corteno,Italy,Europe,0,1906,Physiology or Medicine,1,1/2,received,in recognition of their work on the structure of the nervous system,9123585,Pavia University,Pavia,Italy,63
666,Camilo José Cela,male,1916,Iria Flavia,Spain,Europe,0,1989,Literature,1,1,received,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",6444548,,,,73
189,Carl Bosch,male,1874,Cologne,Germany,Europe,0,1931,Chemistry,1,1/2,received,in recognition of their contributions to the invention and development of chemical high pressure methods,6439352,University of Heidelberg,Heidelberg,Germany,57
343,Carl Cori,male,1896,Prague,Czech Republic,Europe,0,1947,Physiology or Medicine,1,1/4,received,for their discovery of the course of the catalytic conversion of glycogen,3582926,Washington University,"St. Louis, MO",USA,51
43,Carl D. Anderson,male,1905,"New York, NY",USA,North America,0,1936,Physics,2,1/2,received,for his discovery of the positron,6040234,California Institute of Technology (Caltech),"Pasadena, CA",USA,31
588,Carl Spitteler,male,1845,Liestal,Switzerland,Europe,0,1919,Literature,1,1,received,"in special appreciation of his epic, <I>Olympian Spring</I>",2922455,,,,74
500,Carl von Ossietzky,male,1889,Hamburg,Germany,Europe,0,1935,Peace,1,1,received,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,6143478,,,,46
740,Carl Wieman,male,1951,"Corvallis, OR",USA,North America,1,2001,Physics,3,1/3,received,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",15114754,"University of Colorado, JILA","Boulder, CO",USA,50
124,Carlo Rubbia,male,1934,Gorizia,Italy,Europe,1,1984,Physics,1,1/2,received,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",4649450,CERN,Geneva,Switzerland,50
562,Carlos Filipe Ximenes Belo,male,1948,Wailacama,East Timor,Oceania,1,1996,Peace,1,1/2,received,for their work towards a just and peaceful solution to the conflict in East Timor,11666895,,,,48
501,Carlos Saavedra Lamas,male,1878,Buenos Aires,Argentina,South America,0,1936,Peace,1,1,received,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",6040234,,,,58
836,Carol W. Greider,female,1961,"San Diego, CA",USA,North America,1,2009,Physiology or Medicine,2,1/3,received,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,13471654,Johns Hopkins University School of Medicine,"Baltimore, MD",USA,48
1015,Carolyn Bertozzi,female,1966,"Boston, MA",USA,North America,1,2022,Chemistry,1,1/3,received,for the development of click chemistry and bioorthogonal chemistry,10852166,Stanford University,"Stanford, CA",USA,56
55,Cecil Powell,male,1903,Tonbridge,United Kingdom,Europe,0,1950,Physics,1,1,received,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,3749710,Bristol University,Bristol,United Kingdom,47
